h3_cell,latitude,longitude,bairro_clean
8981839b5a7ffff,-8.121036653968254,-34.89726624920635,boa viagem
898183983dbffff,-8.04657256204015,-34.89674112134576,espinheiro
8981839a56fffff,-8.122318612867966,-34.94526666733307,ibura
8981838a4d7ffff,,,
898183812dbffff,,,
8981839865bffff,,,
89818398bbbffff,,,
8981838a2a7ffff,,,
8981839abc3ffff,,,
89818398cbbffff,-8.040737456157196,-34.952412635730504,várzea
89818398d0bffff,-8.0230686,-34.965853,várzea
8981839a183ffff,,,
8981839a073ffff,-8.115542576190474,-34.92414446666667,ipsep
8981839a60bffff,-8.130244934627118,-34.90294918556251,boa viagem
898183816cfffff,,,
89818398557ffff,-8.074361443879946,-34.92122478776458,mustardinha
8981839ae17ffff,-8.0869797,-34.9494306,jardim são paulo
8981838a0cbffff,,,
898183989dbffff,-8.011541451019362,-34.95832804682938,sítio dos pintos
89818398a53ffff,-8.002888811036849,-34.91735414258491,brejo de beberibe
8981838364fffff,-8.0326496,-34.9796832,várzea
8981838a513ffff,,,
89818398157ffff,-8.05039997948718,-34.92107980769231,cordeiro
8981838a063ffff,,,
89818399d0bffff,-8.0105676,-34.9021879,linha do tiro
8981839ac43ffff,,,
8981839a6a3ffff,-8.134480552616523,-34.91511764351046,boa viagem
8981838a50fffff,,,
8981839a257ffff,-8.110491529132013,-34.899332321184204,boa viagem
8981839a393ffff,-8.108475015223094,-34.931045408118955,ibura
89818399c1bffff,-8.027627905456411,-34.88163806546179,campo grande
89818398a93ffff,-8.013956111470986,-34.929183118989684,macaxeira
89818399d8bffff,-8.019991980992048,-34.9056805121067,bomba do hemetério
89818398a9bffff,-8.011296081881019,-34.92551860874676,nova descoberta
8981839aa73ffff,-8.055625824529303,-34.94357291509168,engenho do meio
89818398ecfffff,-8.028630457424175,-34.92114271269376,casa amarela
8981838348bffff,,,
898183813a3ffff,,,
8981838a417ffff,,,
89818398ea7ffff,,,
898183813b3ffff,,,
8981839a62fffff,-8.1218616,-34.9131805,imbiribeira
8981839a8a3ffff,,,
8981839a2cfffff,-8.113681855555555,-34.899529288888886,boa viagem
8981839a38fffff,-8.1024137,-34.9279421,caçote
8981839848fffff,-8.089949516783216,-34.9084301013986,imbiribeira
8981838a1abffff,,,
89818398523ffff,-8.06704005,-34.93232965,san martin
8981838a56bffff,,,
8981839851bffff,-8.074777320871899,-34.92275604773819,mangueira
8981839a34bffff,-8.0933841,-34.9166471,imbiribeira
8981839a08fffff,,,
8981839862bffff,-8.065233242518897,-34.88787882624418,coelhos
89818398c8bffff,-8.044147925,-34.94715625,várzea
898183991a3ffff,-8.039150194622486,-34.87347266426085,santo amaro
8981838a557ffff,,,
8981839a46fffff,,,
8981839a2afffff,-8.108100556699268,-34.91442605665639,imbiribeira
8981838a1c3ffff,,,
8981838138bffff,,,
89818398ad7ffff,-8.010467707265414,-34.92423144777458,nova descoberta
8981839a10fffff,,,
89818398d4fffff,,,
89818398d83ffff,,,
89818381067ffff,,,
8981839812fffff,-8.038647214332398,-34.931395576593815,iputinga
8981838127bffff,,,
8981839aa57ffff,-8.06162821,-34.94257517,engenho do meio
8981839ae6bffff,-8.074635013670147,-34.94262495950691,curado
8981839b16bffff,-8.086182566666666,-34.87997466666667,brasília teimosa
8981839b1bbffff,,,
8981838a3b3ffff,,,
8981839808bffff,-8.068824464273819,-34.90587390762696,afogados
898183984b3ffff,,,
8981839a473ffff,-8.140754300000001,-34.92362944,jordão
8981839a82fffff,,,
8981839a6abffff,-8.132956069117249,-34.91225952638721,boa viagem
89818399d27ffff,-8.005088770731009,-34.91566997787664,vasco da gama
